Petition ID,Month,Date,Year,Priority,Filing Party,Ground (landlord): Capital Improvement,Ground (landlord): Comparable Rents,Ground (landlord): Extension of Time for Capital Improvements,Ground (landlord): Intent to Withdraw (Ellis),Ground (landlord): Other,Ground (landlord): Operating & Maintenance,Ground (landlord): Substantial Rehabilitation,Ground (landlord):  Costa-Hawkins,Ground (landlord):  Exemption,Ground (landlord): Rules and Regulations Section 1.21,Ground (landlord): Rules and Regulations Section 6.14,Ground (landlord): Rules and Regulations Section 6.15,Ground (landlord): SRO Hotel Vistor Policy Petition,Ground (landlord): Utility Passthrough Petition,Ground (landlord): Owner Move-In Disability Determination,Ground (landlord): Utility Passthrough Worksheet,Ground (landlord): Non-Comparable Rents,Ground (tenant): Decrease in Housing Services,Ground (tenant): Failure to Repair and Maintain,Ground (tenant): Passthrough Challenge,Ground (tenant): Summary Petition,Ground (tenant): Unlawful Rent Increase,Ground (tenant): Wrongful Eviction Report,Ground (tenant): Section 8 tenancy,Ground (tenant): SRO Hotel Vistor Policy Petition,Ground (tenant): Rules and Regulations Section 6.15,Ground (tenant): Other,Ground (tenant): Utility Passhtrough Hardship,Ground (tenant): Water Revenue Bond Passthrough Hardship,Ground (tenant): Capital Improvement Passthrough Hardship Petition,Ground (tenant): Wrongful Severance of Housing Service,Ground: Alternative Dispute Resolution,Address,Petition Source Zipcode,Supervisor District,Neighborhoods - Analysis Boundaries,Location0,Location1
L990190,1,29,1999,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2100 Block Of Leavenworth Street,94133,2,Russian Hill,-122.417760921988,37.8007942724814
L152114,9,25,2015,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0 Block Of Hoff Street,94110,9,Mission,-122.420437704711,37.7641898779253
L031278,10,1,2003,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,600 Block Of Oak Street,94107,5,Hayes Valley,-122.429990606896,37.7740227359507
L111676,12,12,2011,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3100 Block Of 24th Street,94110,9,Mission,-122.41462385017,37.7524180929983
L031225,9,30,2003,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0 Block Of Castello Avenue,94132,7,Lakeshore,-122.474808966264,37.7174069966896
L2K1374,6,30,2000,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,600 Block Of Octavia Street,94102,5,Hayes Valley,-122.424882716869,37.7783136017891
L070968,6,15,2007,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1000 Block Of Pine Street,94109,3,Nob Hill,-122.413101980863,37.7906221866345
L020312,2,28,2002,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0 Block Of Mirabel Avenue,94110,9,Bernal Heights,-122.416456065789,37.7464196658626
L061222,8,18,2006,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,300 Block Of Fell Street,94102,5,Hayes Valley,-122.423567114822,37.7759061460999
L080865,6,4,2008,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,400 Block Of Pierce Street,94115,5,Hayes Valley,-122.434133306199,37.774021207196
L130329,2,28,2013,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2400 Block Of Pacific Avenue,94115,2,Pacific Heights,-122.435568357254,37.793296232837
L020616,4,3,2002,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,200 Block Of Cole Street,94117,5,Lone Mountain/USF,-122.45081186612,37.7728501526381
L040601,5,14,2004,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,300 Block Of Upper Terrace,94117,8,Haight Ashbury,-122.446146710157,37.762797706519
L2K1373,6,30,2000,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,400 Block Of Fulton Street,94102,5,Hayes Valley,-122.424165131525,37.7785884192927
R002-85C,4,14,1997,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1200 Block Of Bush Street,94109,3,Nob Hill,-122.417825829922,37.7889556109166
L010500,3,6,2001,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4200 Block Of 24th Street,94114,8,Noe Valley,-122.437391428716,37.7511432504474
L060563,4,21,2006,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2400 Block Of Larkin Street,94109,2,Russian Hill,-122.421041385764,37.8003597667582
S002-55C,12,12,1997,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2300 Block Of Broadway Street,94115,,,,
L110804,6,27,2011,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2600 Block Of Bush Street,94115,2,Pacific Heights,-122.440904714321,37.7861279012872
L091429,10,1,2009,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2200 Block Of Leavenworth Street,94133,3,Russian Hill,-122.417769534564,37.8014947904884
L160646,3,29,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,600 Block Of Capp Street,94110,9,Mission,-122.417666463719,37.7563058754319
L160649,3,31,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,100 Block Of Stanyan Street,94118,,,,
L160635,3,25,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,200 Block Of 21st Avenue,94121,1,Outer Richmond,-122.480726751975,37.7831413013655
L160638,3,25,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3300 Block Of Balboa Street,94121,1,Outer Richmond,-122.494635444461,37.775782877209
L160626,3,17,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1400 Block Of Jones Street,94109,3,Nob Hill,-122.414804970999,37.7945402598083
L160611,3,14,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,300 Block Of Leavenworth Street,94102,6,Tenderloin,-122.414267552081,37.7841991599115
L160641,3,25,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1100 Block Of Pine Street,94109,3,Nob Hill,-122.414117159254,37.7904931637575
L160617,3,24,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,300 Block Of Park Street,94110,9,Bernal Heights,-122.417998705417,37.736327832552
L160643,3,28,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1500 Block Of Jackson Street,94109,3,Russian Hill,-122.420567599775,37.7941946458767
L160647,3,29,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,600 Block Of Capp Street,94110,9,Mission,-122.417666463719,37.7563058754319
L160438,3,16,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,300 Block Of 27th Street,94131,8,Noe Valley,-122.428075513761,37.7467749895432
L160633,3,25,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3300 Block Of Balboa Street,94121,1,Outer Richmond,-122.494635444461,37.775782877209
L160428,3,8,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1900 Block Of Leavenworth Street,94133,3,Russian Hill,-122.417428279884,37.7991684350728
L160625,3,22,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1900 Block Of Leavenworth Street,94133,3,Russian Hill,-122.417428279884,37.7991684350728
L160615,3,24,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3200 Block Of Laguna Street,94123,2,Marina,-122.431196838983,37.8012230961469
L152390,11,6,2015,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,1500 Block Of Geneva Avenue,94112,11,Excelsior,-122.430848026241,37.7124392761404
L160648,3,30,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,400 Block Of Lombard Street,94133,3,North Beach,-122.408958166251,37.8033889345376
L160433,3,9,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,400 Block Of 15th Avenue,94118,1,Outer Richmond,-122.473976770261,37.7796108044887
